crude version 0.62, Copyright (C) 1999 Juha Laine and Sampo Saaristo
crude comes with ABSOLUTELY NO WARRANTY!
This is free software, and you are welcome to redistribute it
under GNU GENERAL PUBLIC LICENSE Version 2.
ID=30 SEQ=55 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.459555 Rx=1109936732.459506 SIZE=1472
ID=30 SEQ=56 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.469555 Rx=1109936732.469501 SIZE=1472
ID=30 SEQ=57 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.479555 Rx=1109936732.479495 SIZE=1472
ID=30 SEQ=58 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.489555 Rx=1109936732.489489 SIZE=1472
ID=30 SEQ=59 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.499555 Rx=1109936732.499483 SIZE=1472
ID=30 SEQ=60 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.509555 Rx=1109936732.509477 SIZE=1472
ID=30 SEQ=61 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.519555 Rx=1109936732.519472 SIZE=1472
ID=30 SEQ=62 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.529555 Rx=1109936732.529465 SIZE=1472
ID=30 SEQ=63 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.539555 Rx=1109936732.539459 SIZE=1472
ID=30 SEQ=64 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.549555 Rx=1109936732.549579 SIZE=1472
ID=30 SEQ=65 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.559555 Rx=1109936732.559574 SIZE=1472
ID=30 SEQ=66 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.569555 Rx=1109936732.569567 SIZE=1472
ID=30 SEQ=67 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.579555 Rx=1109936732.579562 SIZE=1472
ID=30 SEQ=68 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.589555 Rx=1109936732.589556 SIZE=1472
